PC,Variance_Explained,Cumulative_Variance
PC1,0.12725363283265295,0.12725363283265295
PC2,0.10508797615786653,0.23234160899051948
PC3,0.10015409135522366,0.33249570034574316
PC4,0.0804524716749375,0.4129481720206807
PC5,0.0634917484859825,0.4764399205066632
PC6,0.06153856639788319,0.5379784869045463
PC7,0.056334648593839694,0.594313135498386
PC8,0.04878191951761932,0.6430950550160054
PC9,0.0381745311587828,0.6812695861747882
PC10,0.03557247547612064,0.7168420616509088
PC11,0.0333249868665001,0.7501670485174089
PC12,0.029814222719615858,0.7799812712370248
PC13,0.0262737210714465,0.8062549923084713
PC14,0.023419268464608654,0.8296742607730799
PC15,0.02196995810566815,0.8516442188787481
PC16,0.01823258921483524,0.8698768080935834
PC17,0.01712379675184008,0.8870006048454234
PC18,0.015416644175038317,0.9024172490204617
PC19,0.014337048473930953,0.9167542974943926
PC20,0.013351506458704311,0.9301058039530969
PC21,0.012235502310177147,0.9423413062632741
PC22,0.011299739924551909,0.953641046187826
PC23,0.009800703418583976,0.9634417496064099
PC24,0.008032084336820946,0.9714738339432308
PC25,0.007165019615642136,0.9786388535588729
PC26,0.004673286350093028,0.9833121399089659
PC27,0.004087883676978293,0.9874000235859443
PC28,0.00319811911729818,0.9905981427032424
PC29,0.0023437785644781235,0.9929419212677205
PC30,0.0017576937908765058,0.994699615058597
PC31,0.001616314571014343,0.9963159296296114
PC32,0.0011923740618874615,0.9975083036914988
PC33,0.0010974279174640264,0.9986057316089628
PC34,0.0007639847939432114,0.9993697164029061
PC35,0.00036445083486907214,0.9997341672377751
PC36,0.00016217867251922379,0.9998963459102943
PC37,9.152952028347477e-05,0.9999878754305778
PC38,1.1834172246538796e-05,0.9999997096028244
PC39,1.7200338231423114e-07,0.9999998816062067
PC40,1.1839379311821397e-07,0.9999999999999998
PC41,3.776624210785767e-33,0.9999999999999998
PC42,1.4320316820743339e-33,0.9999999999999998
PC43,1.32851653199014e-33,0.9999999999999998
PC44,1.1419750528775185e-33,0.9999999999999998
PC45,4.539555516657154e-34,0.9999999999999998
PC46,4.539555516657154e-34,0.9999999999999998
PC47,4.539555516657154e-34,0.9999999999999998
PC48,4.539555516657154e-34,0.9999999999999998
PC49,4.539555516657154e-34,0.9999999999999998
PC50,4.539555516657154e-34,0.9999999999999998
PC51,4.539555516657154e-34,0.9999999999999998
PC52,4.539555516657154e-34,0.9999999999999998
PC53,4.539555516657154e-34,0.9999999999999998
PC54,4.539555516657154e-34,0.9999999999999998
PC55,4.539555516657154e-34,0.9999999999999998
PC56,3.527775975420277e-34,0.9999999999999998
PC57,2.380781498087967e-34,0.9999999999999998
PC58,1.8895322670024634e-34,0.9999999999999998
PC59,1.5511710838812008e-34,0.9999999999999998
