Batch date,Female,Male
01JUL2015,0.5,0.5
02FEB2017,1.0,0.0
02JUL2015,0.4,0.6
02JUN2015,0.6,0.4
03JUN2015,0.5,0.5
05JUN2015,0.3333333333333333,0.6666666666666666
05OCT2015,0.2222222222222222,0.7777777777777778
06DEC2017,1.0,0.0
07DEC2017,1.0,0.0
08DEC2017,1.0,0.0
12OCT2015,0.4,0.6
14OCT2015,0.75,0.25
15OCT2015,0.0,1.0
16NOV2016,0.5,0.5
16OCT2015,0.6666666666666666,0.3333333333333333
17NOV2016,0.7,0.3
18NOV2015,0.75,0.25
18OCT2016,0.5,0.5
19NOV2015,0.2,0.8
20JUL2016,0.5,0.5
24JAN2017,0.4,0.6
25JUL2016,0.6,0.4
26SEP2016,1.0,0.0
27JAN2017,0.0,1.0
27SEP2016,0.75,0.25
28JUL2016,0.4,0.6
29APR2015,0.25,0.75
29JUL2016,0.8,0.2
29MAY2015,0.0,1.0
