Cytokine,Older_Mean,Young_Mean,Older_Std,Young_Std,Mean_Diff (O-Y),Abs_Diff,T_Statistic,P_Value,Significant,Direction
IL-22,2.3997,2.3149,0.5469,0.2205,0.0848,0.0848,1.1105,0.270257,False,↑ Older
IL-18,3.8141,3.7527,0.4838,0.4135,0.0614,0.0614,0.7541,0.452335,False,↑ Older
IL-10,2.3469,2.2972,0.3999,0.2532,0.0498,0.0498,0.8166,0.41614,False,↑ Older
IL-1beta,2.4566,2.4896,0.1472,0.1639,-0.0329,0.0329,-1.1737,0.242781,False,↑ Young
IL-6,2.216,2.184,0.1856,0.1122,0.0321,0.0321,1.1472,0.254184,False,↑ Older
IL-4,2.1559,2.1874,0.205,0.2894,-0.0315,0.0315,-0.7006,0.484982,False,↑ Young
IL-9,2.116,2.1451,0.3712,0.2562,-0.029,0.029,-0.5004,0.617828,False,↑ Young
IL-2,2.0273,2.0018,0.3648,0.2882,0.0256,0.0256,0.4288,0.668918,False,↑ Older
IL-5,2.2647,2.2391,0.2235,0.1136,0.0256,0.0256,0.7903,0.431512,False,↑ Older
GM-CSF,2.3279,2.3059,0.1897,0.1626,0.022,0.022,0.6877,0.492997,False,↑ Older
IFN-gamma,3.7728,3.7533,0.4429,0.3515,0.0195,0.0195,0.2691,0.788343,False,↑ Older
IL-17A,1.9341,1.9163,0.3361,0.2206,0.0178,0.0178,0.3443,0.731357,False,↑ Older
IL-23,2.3778,2.366,0.197,0.0724,0.0118,0.0118,0.4328,0.666457,False,↑ Older
IL-27,2.4774,2.4699,0.2572,0.2228,0.0075,0.0075,0.1717,0.863944,False,↑ Older
IL-21,2.389,2.3821,0.8031,0.4647,0.0068,0.0068,0.0572,0.954504,False,↑ Older
IL-13,2.417,2.4108,0.1871,0.2306,0.0062,0.0062,0.164,0.87004,False,↑ Older
IL-12p70,2.2663,2.2607,0.1295,0.1512,0.0056,0.0056,0.2226,0.824188,False,↑ Older
TNF-alpha,2.371,2.3714,0.2436,0.2377,-0.0004,0.0004,-0.0097,0.992292,False,↑ Young
