PCA Components,K Neighbors,Mean Accuracy,Std Accuracy,Fold Accs
10,7,0.5882,0.116,"[0.68, 0.625, 0.375, 0.5652, 0.6957]"
6,7,0.5798,0.0991,"[0.64, 0.625, 0.4167, 0.5217, 0.6957]"
7,7,0.5711,0.1055,"[0.64, 0.625, 0.4167, 0.4783, 0.6957]"
5,7,0.5704,0.1206,"[0.68, 0.625, 0.4167, 0.4348, 0.6957]"
3,3,0.5697,0.0873,"[0.72, 0.5417, 0.5, 0.4783, 0.6087]"
4,7,0.5617,0.1201,"[0.68, 0.5833, 0.4583, 0.3913, 0.6957]"
9,7,0.5551,0.0946,"[0.6, 0.5833, 0.375, 0.5652, 0.6522]"
4,5,0.5544,0.091,"[0.6, 0.625, 0.4167, 0.4783, 0.6522]"
5,6,0.5534,0.0823,"[0.68, 0.5417, 0.4583, 0.4783, 0.6087]"
2,5,0.5471,0.0377,"[0.52, 0.5417, 0.5, 0.5652, 0.6087]"
8,7,0.5464,0.0953,"[0.6, 0.5833, 0.375, 0.5217, 0.6522]"
10,6,0.5458,0.1225,"[0.68, 0.5417, 0.3333, 0.5217, 0.6522]"
4,4,0.5451,0.0758,"[0.68, 0.5, 0.4583, 0.5652, 0.5217]"
5,5,0.545,0.0827,"[0.64, 0.5833, 0.4583, 0.4348, 0.6087]"
5,3,0.5443,0.0711,"[0.68, 0.5417, 0.5, 0.5217, 0.4783]"
8,3,0.5385,0.1243,"[0.64, 0.4167, 0.375, 0.6957, 0.5652]"
9,3,0.5385,0.1359,"[0.64, 0.4167, 0.375, 0.7391, 0.5217]"
4,3,0.5371,0.0723,"[0.64, 0.5417, 0.4167, 0.5217, 0.5652]"
3,5,0.5367,0.0612,"[0.6, 0.5833, 0.5, 0.4348, 0.5652]"
7,6,0.536,0.1362,"[0.72, 0.5833, 0.3333, 0.4348, 0.6087]"
6,5,0.5291,0.0619,"[0.6, 0.5417, 0.4167, 0.5217, 0.5652]"
10,4,0.5288,0.1177,"[0.68, 0.4583, 0.375, 0.4783, 0.6522]"
3,7,0.5287,0.119,"[0.6, 0.5417, 0.4583, 0.3478, 0.6957]"
6,6,0.5284,0.0761,"[0.64, 0.5417, 0.4167, 0.4783, 0.5652]"
6,3,0.5284,0.1061,"[0.68, 0.5, 0.375, 0.6087, 0.4783]"
7,3,0.5211,0.1058,"[0.64, 0.4167, 0.375, 0.6087, 0.5652]"
9,6,0.5208,0.1037,"[0.64, 0.5, 0.3333, 0.5652, 0.5652]"
10,5,0.5204,0.087,"[0.64, 0.5, 0.375, 0.5217, 0.5652]"
4,6,0.5197,0.0747,"[0.64, 0.5, 0.4583, 0.4348, 0.5652]"
2,3,0.5131,0.0347,"[0.52, 0.4583, 0.5, 0.5217, 0.5652]"
2,6,0.5131,0.0509,"[0.52, 0.5417, 0.4167, 0.5217, 0.5652]"
2,7,0.5131,0.0758,"[0.52, 0.5, 0.4583, 0.4348, 0.6522]"
9,5,0.5131,0.0903,"[0.56, 0.5417, 0.3333, 0.5652, 0.5652]"
3,4,0.5113,0.0684,"[0.64, 0.4583, 0.4583, 0.5217, 0.4783]"
8,6,0.5113,0.1115,"[0.64, 0.5833, 0.3333, 0.4348, 0.5652]"
8,5,0.5044,0.0691,"[0.56, 0.5, 0.375, 0.5217, 0.5652]"
2,4,0.504,0.0478,"[0.56, 0.5, 0.4167, 0.5217, 0.5217]"
9,4,0.4964,0.1399,"[0.6, 0.4583, 0.25, 0.5217, 0.6522]"
7,5,0.4954,0.0921,"[0.6, 0.5, 0.3333, 0.4783, 0.5652]"
10,3,0.4947,0.1497,"[0.72, 0.375, 0.2917, 0.5652, 0.5217]"
7,4,0.4943,0.112,"[0.68, 0.4583, 0.3333, 0.5217, 0.4783]"
6,4,0.4936,0.077,"[0.64, 0.5, 0.4583, 0.4348, 0.4348]"
3,6,0.487,0.0498,"[0.56, 0.4167, 0.4583, 0.4783, 0.5217]"
5,4,0.4856,0.0678,"[0.6, 0.4583, 0.5, 0.3913, 0.4783]"
8,4,0.4794,0.0905,"[0.56, 0.4167, 0.3333, 0.5217, 0.5652]"
