PCA Components (per modality),K Neighbors,Mean Accuracy,Std Accuracy,Fold Accs
7,5,0.6652,0.1214,"[0.5, 0.7692, 0.64, 0.8333, 0.5833]"
7,7,0.6642,0.0955,"[0.5769, 0.7692, 0.6, 0.7917, 0.5833]"
10,5,0.6642,0.1297,"[0.5385, 0.8077, 0.6, 0.8333, 0.5417]"
10,7,0.6562,0.102,"[0.5769, 0.7692, 0.56, 0.7917, 0.5833]"
9,7,0.6553,0.0889,"[0.6154, 0.7692, 0.6, 0.75, 0.5417]"
5,7,0.6488,0.0516,"[0.5769, 0.6923, 0.6, 0.7083, 0.6667]"
6,7,0.6488,0.0801,"[0.5385, 0.7308, 0.6, 0.75, 0.625]"
8,7,0.6479,0.0832,"[0.5385, 0.7692, 0.64, 0.7083, 0.5833]"
9,6,0.6402,0.0987,"[0.5385, 0.7692, 0.56, 0.75, 0.5833]"
9,3,0.6396,0.068,"[0.6154, 0.7308, 0.56, 0.7083, 0.5833]"
9,5,0.6325,0.0894,"[0.5385, 0.7308, 0.56, 0.75, 0.5833]"
6,5,0.6245,0.0653,"[0.5385, 0.6923, 0.6, 0.7083, 0.5833]"
10,3,0.6245,0.097,"[0.5385, 0.7308, 0.52, 0.75, 0.5833]"
7,6,0.6239,0.1112,"[0.5385, 0.7692, 0.52, 0.75, 0.5417]"
10,6,0.6226,0.1341,"[0.5385, 0.8462, 0.52, 0.7083, 0.5]"
8,6,0.6152,0.072,"[0.5769, 0.7308, 0.56, 0.6667, 0.5417]"
6,6,0.6101,0.1097,"[0.4615, 0.6538, 0.56, 0.7917, 0.5833]"
9,4,0.6078,0.0959,"[0.5, 0.7692, 0.52, 0.625, 0.625]"
10,4,0.6072,0.1098,"[0.5385, 0.7692, 0.52, 0.7083, 0.5]"
8,3,0.6069,0.0941,"[0.5769, 0.7692, 0.48, 0.625, 0.5833]"
4,7,0.5998,0.066,"[0.5385, 0.6923, 0.56, 0.6667, 0.5417]"
8,5,0.5998,0.1004,"[0.5385, 0.7308, 0.48, 0.7083, 0.5417]"
7,4,0.5982,0.1425,"[0.5, 0.8462, 0.52, 0.6667, 0.4583]"
5,3,0.5937,0.0669,"[0.5, 0.5769, 0.6, 0.5833, 0.7083]"
3,3,0.5931,0.0837,"[0.5769, 0.6154, 0.44, 0.6667, 0.6667]"
8,4,0.5909,0.1322,"[0.5385, 0.8077, 0.4, 0.5833, 0.625]"
5,5,0.5864,0.0765,"[0.4615, 0.5769, 0.56, 0.6667, 0.6667]"
6,3,0.5848,0.0529,"[0.5385, 0.6154, 0.52, 0.6667, 0.5833]"
4,5,0.5786,0.0889,"[0.4231, 0.5385, 0.64, 0.6667, 0.625]"
5,6,0.5774,0.1129,"[0.4231, 0.6923, 0.48, 0.7083, 0.5833]"
7,3,0.5745,0.0576,"[0.6154, 0.6538, 0.52, 0.5833, 0.5]"
3,5,0.5611,0.0812,"[0.5, 0.6154, 0.44, 0.6667, 0.5833]"
5,4,0.5611,0.1045,"[0.3846, 0.6923, 0.52, 0.5833, 0.625]"
3,7,0.5601,0.067,"[0.5385, 0.5769, 0.56, 0.6667, 0.4583]"
3,4,0.5601,0.089,"[0.5385, 0.6538, 0.4, 0.5833, 0.625]"
6,4,0.5511,0.099,"[0.4615, 0.7308, 0.48, 0.5833, 0.5]"
4,6,0.5374,0.0819,"[0.4615, 0.5769, 0.44, 0.6667, 0.5417]"
2,5,0.5358,0.0736,"[0.5385, 0.6154, 0.4, 0.5417, 0.5833]"
3,6,0.531,0.1247,"[0.4231, 0.5385, 0.36, 0.6667, 0.6667]"
4,4,0.5284,0.0672,"[0.4231, 0.6154, 0.52, 0.5, 0.5833]"
2,7,0.5204,0.0625,"[0.5385, 0.5385, 0.4, 0.5833, 0.5417]"
4,3,0.5126,0.0347,"[0.4615, 0.5, 0.56, 0.5417, 0.5]"
2,3,0.5114,0.0851,"[0.4615, 0.6538, 0.4, 0.5, 0.5417]"
2,6,0.4954,0.0621,"[0.5769, 0.5, 0.4, 0.4583, 0.5417]"
2,4,0.4893,0.0917,"[0.5385, 0.4231, 0.36, 0.5, 0.625]"
