Feature Set,Model,Accuracy,Acc Std,F1 Score,ROC-AUC
Combined PCA (6),XGBoost,0.616,0.0835,0.6175,
Combined PCA (6),Random Forest,0.624,0.0804,0.635,0.6567
Combined PCA (6),Logistic Regression,0.6568,0.0702,0.645,0.7305
Combined PCA (6),SVM,0.6368,0.0783,0.6472,0.7118
ANOVA Top 12,XGBoost,0.724,0.0809,0.7285,
ANOVA Top 12,Random Forest,0.72,0.0828,0.7296,0.7906
ANOVA Top 12,Logistic Regression,0.7368,0.0919,0.726,0.8364
ANOVA Top 12,SVM,0.7248,0.0727,0.7267,0.8006
Full (77),XGBoost,0.6704,0.0826,0.6778,
Full (77),Random Forest,0.664,0.078,0.6756,0.7335
Full (77),Logistic Regression,0.6688,0.0812,0.6625,0.7579
Full (77),SVM,0.6544,0.0663,0.6487,0.7312
