Cytokine,F_Score,P_Value,Selected,Significant
IL-1beta,1.2154,0.272415,True,False
IL-6,1.1576,0.284076,True,False
IL-22,0.9469,0.332417,True,False
IL-9,0.8179,0.367571,True,False
IL-10,0.5765,0.44913,True,False
IL-18,0.5477,0.460661,True,False
GM-CSF,0.4946,0.483193,True,False
IL-5,0.4761,0.491483,True,False
IL-4,0.2681,0.605521,True,False
IL-21,0.265,0.607645,True,False
IL-13,0.2582,0.61224,True,False
IL-2,0.2535,0.615518,True,False
IL-12p70,0.1277,0.721493,False,False
IL-23,0.0951,0.758318,False,False
IFN-gamma,0.0568,0.811996,False,False
IL-27,0.0368,0.848106,False,False
TNF-alpha,0.016,0.899499,False,False
IL-17A,0.0137,0.907066,False,False
