Feature,Sex_norm,Age_norm,Sex_Sig,Age_Sig,Combined
TNF-alpha,0.32759694605515594,0.0,False,False,0.32759694605515594
IL-17A,0.3435413372185995,0.0,False,False,0.3435413372185995
IL-23,0.5131067818748366,0.0,False,False,0.5131067818748366
IFN-gamma,0.5796594992816362,0.0,False,False,0.5796594992816362
IL-12p70,0.5807743990598669,0.0,False,False,0.5807743990598669
IL-27,0.6381300352095363,0.0,True,False,0.6381300352095363
IL-5,0.4356392528686,0.30451838942977943,False,False,0.7401576422983794
IL-2,0.5215999100030867,0.6653134638648289,False,False,1.1869133738679156
IL-13,0.4406961971965424,0.8242207780615507,True,False,1.264916975258093
GM-CSF,0.5925032633178283,0.7354001423384324,False,False,1.3279034056562606
IL-1beta,0.4924826545205268,0.8440455549238809,False,False,1.3365282094444078
IL-9,0.5394276766540652,0.8143936472962598,True,False,1.3538213239503252
IL-4,0.9022916775994873,0.5114163833486487,False,False,1.413708060948136
IL-10,0.4955646149326284,0.9302094458316134,False,False,1.4257740607642417
IL-18,0.5758935024129338,0.8640518436544647,False,False,1.4399453460673985
IL-6,0.5597932591568141,0.8982048315192576,False,False,1.4579980906760717
IL-22,0.7915241956577522,0.8103474739897403,True,False,1.6018716696474926
IL-21,1.0,1.0,True,False,2.0
